{discord_uid},{order_number},{country},{quantity},{account_type}
lamarrr#5536,1,US,2,gmail
lamarrr#5536,3,US,2,catchall
lamarrr#5536,254,CN,1,gmail
lamarrr#5536,434,CN,1,gmail
lamarrr#5536,543,CN,1,gmail
lamarrr#5536,1,US,2,gmail
lamarrr#5536,3,US,2,catchall
lamarrr#5536,343,CN,1,gmail
lamarrr#5536,254,CN,1,gmail
lamarrr#5536,434,CN,1,gmail
lamarrr#5536,543,CN,1,gmail
lamarrr#5536,1,US,2,gmail
lamarrr#5536,3,US,2,catchall
lamarrr#5536,5224,CN,1,gmail
lamarrr#5536,343,CN,1,gmail
lamarrr#5536,4325,CN,1,gmail
lamarrr#5536,456,CN,1,gmail
lamarrr#5536,254,CN,1,gmail
lamarrr#5536,434,CN,1,gmail
lamarrr#5536,543,CN,1,gmail
lamarrr#5536,1,US,2,gmail
lamarrr#5536,3,US,2,catchall
lamarrr#5536,5224,CN,1,gmail
lamarrr#5536,343,CN,1,gmail
lamarrr#5536,4325,CN,1,gmail
lamarrr#5536,456,CN,1,gmail
lamarrr#5536,254,CN,1,gmail
lamarrr#5536,434,CN,1,gmail
lamarrr#5536,543,CN,1,gmail
lamarrr#5536,1,US,2,gmail
lamarrr#5536,3,US,2,catchall
lamarrr#5536,24,US,1,gmail
lamarrr#5536,5224,CN,1,gmail
lamarrr#5536,343,CN,1,gmail
lamarrr#5536,4325,CN,1,gmail
lamarrr#5536,456,CN,1,gmail
lamarrr#5536,254,CN,1,gmail
lamarrr#5536,434,CN,1,gmail
lamarrr#5536,543,CN,1,gmail
lamarrr#5536,1,US,2,gmail
lamarrr#5536,3,US,2,catchall
lamarrr#5536,24,US,1,gmail
lamarrr#5536,5224,CN,1,gmail
lamarrr#5536,343,CN,1,gmail
lamarrr#5536,4325,CN,1,gmail
lamarrr#5536,456,CN,1,gmail
lamarrr#5536,254,CN,1,gmail
lamarrr#5536,434,CN,1,gmail
lamarrr#5536,543,CN,1,gmail
